q1	q2	q3	qd1	qd2	qd3	qdd1	qdd2	qdd3	trq2_dyn	trq3_dyn	
-0.344051	1.57875	-1.79998	1.21575	-5.9069	0.00706699	24.4226	-89.3273	0.646565	-29.8079	3.7153	
-0.34345	1.57268	-1.79997	1.24488	-5.99956	0.00817594	25.5227	-88.0421	0.73136	-29.7573	3.72195	
-0.342571	1.56651	-1.79996	1.26471	-6.10004	0.0102884	24.8801	-88.3296	0.825317	-29.675	3.7348	
-0.341971	1.56023	-1.79994	1.30411	-6.20784	0.0129238	26.4493	-90.9116	1.09057	-29.6086	3.7328	
-0.339341	1.55384	-1.79993	1.32461	-6.31799	0.0133707	24.2407	-94.4441	1.13638	-29.2696	3.75205	
-0.341092	1.54733	-1.79992	1.3342	-6.42978	0.0142325	21.8996	-98.2926	1.2224	-29.5725	3.75238	
-0.338462	1.54071	-1.7999	1.36292	-6.53933	0.0152509	22.0291	-101.38	1.32424	-29.2225	3.76545	
-0.337448	1.534	-1.79988	1.39004	-6.63272	0.0163689	24.7405	-101.665	1.38533	-29.1002	3.76396	
-0.339199	1.5272	-1.79987	1.41234	-6.71757	0.0190949	24.2593	-100.259	1.61884	-29.3546	3.73279	
-0.338319	1.52032	-1.79985	1.44735	-6.80193	0.019904	25.0488	-99.0922	1.50373	-29.2266	3.71522	
-0.333506	1.51333	-1.79983	1.45557	-6.89851	0.0200207	23.9825	-99.1613	1.29537	-28.6153	3.76377	
-0.333506	1.50624	-1.79981	1.48857	-7.0114	0.020026	24.3687	-101.184	1.18501	-28.6075	3.7392	
-0.336135	1.49903	-1.79979	1.50885	-7.12258	0.0186289	24.414	-102.254	0.834052	-28.932	3.67145	
-0.333951	1.4917	-1.79978	1.49657	-7.24106	0.0178789	19.2466	-103.322	0.49551	-28.6853	3.69862	
-0.333951	1.48425	-1.79976	1.53071	-7.36101	0.0204319	20.6102	-104.302	0.706114	-28.6402	3.64897	
-0.333951	1.47669	-1.79973	1.58729	-7.47975	0.0218561	25.3085	-104.997	0.76236	-28.5535	3.57546	
-0.336581	1.469	-1.79971	1.61514	-7.59395	0.0236868	25.2215	-105.463	0.843587	-28.7649	3.43201	
-0.337595	1.46121	-1.79968	1.66156	-7.70791	0.0256671	27.1522	-107.518	0.92982	-28.7412	3.29782	
-0.334965	1.45329	-1.79966	1.68568	-7.82189	0.0257001	27.334	-110.432	0.66052	-28.3773	3.29892	
-0.332781	1.44526	-1.79963	1.71194	-7.93632	0.0263846	26.4589	-113.439	0.648056	-28.0537	3.27941	
-0.337595	1.43712	-1.7996	1.77108	-8.03915	0.0274328	31.5504	-114.064	0.741214	-28.263	2.93134	
-0.340225	1.42888	-1.79958	1.79521	-8.14778	0.0288267	30.6641	-113.638	0.880072	-28.2352	2.63863	
-0.337595	1.42051	-1.79955	1.84846	-8.27214	0.030415	33.9608	-114.956	1.17861	-27.812	2.60932	
-0.339779	1.41202	-1.79951	1.92401	-8.39586	0.0330851	42.7442	-115.479	1.52062	-27.5901	2.25652	
-0.342409	1.4034	-1.79948	1.93673	-8.51793	0.0354404	40.6019	-115.692	1.50086	-27.3609	1.85229	
-0.339779	1.39465	-1.79945	1.97708	-8.64255	0.0388504	38.9789	-116.28	1.69942	-26.9334	1.81592	
-0.337149	1.38578	-1.79941	2.01742	-8.77013	0.0416978	40.2281	-117.618	1.8011	-26.505	1.7744	
-0.332614	1.37678	-1.79936	2.03227	-8.89227	0.04818	37.0708	-118.437	2.25129	-26.0748	1.88954	
-0.332614	1.36766	-1.79931	2.07454	-9.00954	0.0557157	38.8858	-118.764	3.00156	-25.6823	1.62796	
-0.328576	1.35841	-1.79924	2.10366	-9.13733	0.0644078	39.1724	-120.101	3.80232	-25.249	1.68854	
-0.325947	1.34903	-1.79917	2.13321	-9.26802	0.0765263	36.2135	-122.887	4.90935	-24.828	1.62943	
-0.317095	1.33951	-1.79909	2.16447	-9.40449	0.089913	36.9259	-125.671	6.10863	-24.3006	2.02524	
-0.31256	1.32985	-1.79898	2.19629	-9.54338	0.106826	34.7833	-127.124	7.64107	-23.8403	2.08497	
-0.308025	1.32005	-1.79886	2.22812	-9.68589	0.126126	30.4105	-129.003	9.30411	-23.3793	2.13532	
-0.299173	1.31011	-1.79872	2.29043	-9.82653	0.147621	35.3694	-130.86	11.2181	-22.7363	2.40841	
-0.299173	1.30002	-1.79855	2.32843	-9.96853	0.171513	35.135	-132.597	13.2662	-22.432	2.17605	
-0.292951	1.28979	-1.79836	2.36118	-10.1061	0.19673	34.3765	-133.598	15.5032	-21.9225	2.29681	
-0.297486	1.27942	-1.79815	2.44186	-10.2475	0.219284	40.9597	-135.52	17.1104	-21.6619	1.73694	
-0.297486	1.26889	-1.79791	2.49512	-10.405	0.241464	42.0587	-139.549	18.5748	-21.2511	1.43385	
-0.297486	1.25819	-1.79766	2.52618	-10.5772	0.261972	42.2514	-143.984	19.7564	-20.8196	1.11603	
-0.297486	1.2473	-1.79739	2.57944	-10.7583	0.282103	44.6223	-149.025	20.5577	-20.3226	0.758579	
-0.294098	1.23624	-1.79709	2.65255	-10.9305	0.305749	48.8084	-152.598	21.5836	-19.8375	0.659651	
-0.292411	1.22503	-1.79677	2.66662	-11.0869	0.332053	47.0327	-154.349	22.5227	-19.381	0.438123	
-0.287336	1.21366	-1.79642	2.72275	-11.228	0.36245	49.4633	-154.212	23.6324	-18.9567	0.479095	
-0.283949	1.20216	-1.79603	2.76482	-11.3582	0.39837	47.4389	-153.168	25.0748	-18.5188	0.37679	
-0.274339	1.19054	-1.79561	2.82372	-11.4787	0.434988	49.5294	-151.017	26.3476	-18.1597	0.758312	
-0.274339	1.17877	-1.79515	2.82372	-11.6281	0.475177	46.2537	-152.2	27.8446	-17.7224	0.398402	
-0.274339	1.16682	-1.79465	2.86932	-11.8075	0.522736	42.7457	-155.998	30.3453	-17.1981	-0.0152343	
-0.268117	1.15469	-1.79409	2.84882	-11.9954	0.578835	35.3696	-159.036	33.7371	-16.8575	0.113316	
-0.268117	1.14237	-1.79346	2.93783	-12.1704	0.642878	41.1649	-159.328	38.0906	-16.2847	-0.343813	
-0.268117	1.12989	-1.79278	3.00004	-12.3267	0.7074	42.0607	-156.847	42.5297	-15.707	-0.809615	
-0.265684	1.11728	-1.79203	3.02213	-12.4629	0.773007	36.9574	-153.242	46.7258	-15.2466	-1.04714	
-0.271906	1.10453	-1.79122	3.12758	-12.5886	0.838997	46.0959	-150.172	50.6944	-14.2614	-2.17242	
-0.269474	1.09163	-1.79035	3.14966	-12.7476	0.904766	42.691	-151.957	54.2316	-13.7664	-2.43518	
-0.272861	1.07854	-1.78941	3.21949	-12.9356	0.96887	45.4675	-157.736	57.0501	-12.7947	-3.33239	
-0.276249	1.06525	-1.78841	3.26724	-13.1441	1.04065	44.3514	-166.538	60.566	-11.7432	-4.24306	
-0.276249	1.05175	-1.78733	3.37913	-13.3368	1.1131	55.5405	-170.871	63.7923	-10.9407	-4.79692	
-0.276249	1.03809	-1.78619	3.4439	-13.4927	1.18057	57.4576	-168.526	65.7836	-10.1883	-5.32357	
-0.267672	1.02428	-1.78499	3.55579	-13.6383	1.24507	70.6968	-164.295	66.6239	-10.2407	-4.98094	
-0.261851	1.01032	-1.78373	3.53093	-13.7947	1.30818	59.3105	-162.423	66.5307	-10.0804	-4.9162	
-0.261851	0.996155	-1.7824	3.60329	-13.9913	1.37583	60.3251	-166.457	66.8427	-9.352	-5.45189	
-0.259095	0.981775	-1.78101	3.69817	-14.2073	1.44114	67.6046	-174.441	66.8137	-8.8445	-5.72747	
-0.247052	0.967158	-1.77955	3.74457	-14.4413	1.51128	61.6991	-185.272	67.2287	-9.09723	-5.15988	
-0.259095	0.952342	-1.77801	3.83551	-14.6355	1.58755	68.5844	-188.792	68.2783	-7.42003	-6.73654	
-0.250518	0.937343	-1.7764	3.90563	-14.815	1.66971	68.6141	-187.938	70.0839	-7.47143	-6.50401	
-0.238846	0.922151	-1.7747	3.94882	-15.0047	1.75423	68.1589	-186.06	71.3577	-7.7247	-6.03822	
-0.230269	0.90675	-1.77292	4.01895	-15.2138	1.84607	63.9823	-187.702	73.2973	-7.68557	-5.85948	
-0.21547	0.891109	-1.77103	4.07009	-15.4523	1.94897	62.6194	-195.959	76.8395	-7.99257	-5.20483	
-0.21547	0.875236	-1.76904	4.14022	-15.6829	2.05866	58.4428	-204.455	81.3584	-7.38759	-5.76571	
